[2026-04-30 10:35:09] [INFO] Attempting to enroll student 155 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:35:09] [INFO] Student 155 enrolled successfully. Enrollment ID: 2036 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:35:09] [INFO] Payment transaction log created for payment ID: 2516 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:35:09] [INFO] Payment transaction committed successfully for student 155. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Payment processing started for request: {"student_id":"2247","amount":"95440","payment_mode":"cash"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Payment validation passed for student 2247. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Database transaction started for student 2247 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Generating receipt number - Student: 2247, Fee Component: school_fee | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Payment record created: ID 2517, Receipt: 85, Component: school_fee | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Synchronized tbl_student_fee_allocation for student 2247 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Generating receipt number - Student: 2247, Fee Component: trust_facilities_fee | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Payment record created: ID 2518, Receipt: 105, Component: trust_facilities_fee | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Synchronized tbl_student_fee_allocation for student 2247 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Generating receipt number - Student: 2247, Fee Component: tuition_fee_part2 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Payment record created: ID 2519, Receipt: 105, Component: tuition_fee_part2 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Synchronized tbl_student_fee_allocation for student 2247 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Payment transaction log created for payment ID: 2517 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:40:01] [INFO] Payment transaction committed successfully for student 2247. Receipt No: 85, 105, 105 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:58] [INFO] Payment processing started for request: {"student_id":"492","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:58] [INFO] Payment validation passed for student 492. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:58] [INFO] Database transaction started for student 492 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:58] [INFO] Payment record created: ID 2520, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:58] [INFO] Synchronized tbl_student_fee_allocation for student 492 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:59] [INFO] Attempting to enroll student 492 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:59] [INFO] Student 492 enrolled successfully. Enrollment ID: 2037 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:59] [INFO] Payment transaction log created for payment ID: 2520 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:41:59] [INFO] Payment transaction committed successfully for student 492. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
