[2026-05-09 09:38:34] [INFO] Payment validation passed for student 334. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:38:34] [INFO] Database transaction started for student 334 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:38:34] [SUCCESS] Payment record created: ID 3311, Receipt: 0, Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:38:34] [INFO] Synchronized tbl_student_fee_allocation for student 334 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:38:34] [INFO] Attempting to enroll student 334 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:38:34] [SUCCESS] Student 334 enrolled successfully. Enrollment ID: 2318 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:38:34] [INFO] Payment transaction log created for payment ID: 3311 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:38:34] [SUCCESS] Payment transaction committed successfully for student 334. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [INFO] Payment processing started for request: {"student_id":"765","amount":"11800","payment_mode":"cash"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [INFO] Payment validation passed for student 765. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [INFO] Database transaction started for student 765 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [SUCCESS] Payment record created: ID 3312, Receipt: 0, Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [INFO] Synchronized tbl_student_fee_allocation for student 765 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [INFO] Attempting to enroll student 765 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [SUCCESS] Student 765 enrolled successfully. Enrollment ID: 2319 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [INFO] Payment transaction log created for payment ID: 3312 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:03] [SUCCESS] Payment transaction committed successfully for student 765. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:29] [INFO] Payment processing started for request: {"student_id":"309","amount":"11800","payment_mode":"cash"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-09 09:39:29] [INFO] Payment validation passed for student 309. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
